MPN,Manufacturer Name, UPC, Product Name, Product Description, Product Price, Product URL, Image URL, Dealtime.co.uk Categorisation, Stock Availability, Stock Description, Standard Shipping, Weight
1074,SCUBAPRO,427671,Scubapro Profile 7mm Mens Steamer,This new family of steamers is a perfect blend of style and function and fits perfectly in colourful warm water environments,175.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-profile-7mm-mens-steamer/427671,http://192.168.1.125/deepblue08uploadImages/small/product427671image1.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,3500
1074,SCUBAPRO,427672,Scubapro Profile Mens Hooded Overvest,Teams with the Profile Steamers to provide great warmth on cold water scuba dives,89.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-profile-mens-hooded-overvest/427672,http://192.168.1.125/deepblue08uploadImages/small/product427672image1.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1029,APEKS,427673,Apeks XTX40 Octopus,The XTX40 regulator can be converted from a right handed hose configuration as supplied from the APEKS factory in the standard to a left handed one,115.00,http://192.168.1.125/deepblue08/dive/department/octopus/apeks/product/apeks-xtx40-octopus/427673,http://192.168.1.125/deepblue08uploadImages/small/product427673image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1029,APEKS,427674,Apeks XTX50 Octopus,The XTX50 regulator can be converted from a right handed hose configuration as supplied from the APEKS factory in the standard to a left handed one,162.00,http://192.168.1.125/deepblue08/dive/department/octopus/apeks/product/apeks-xtx50-octopus/427674,http://192.168.1.125/deepblue08uploadImages/small/product427674image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1074,SCUBAPRO,427675,Scubapro Profile Mens Tropic suit,Perfect wetsuit for any summer holiday,105.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-profile-mens-tropic-suit/427675,http://192.168.1.125/deepblue08uploadImages/small/product427675image0.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1074,SCUBAPRO,427676,Scubapro Hybrid Mens Rash Vest Short Sleeved,New fashionable UV rated neoprenelycra rash guards to be worn under another suit for added warmth or solely used as rash guard,45.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-hybrid-mens-rash-vest-short-sleeved/427676,http://192.168.1.125/deepblue08uploadImages/small/product427676image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,500
1074,SCUBAPRO,427677,Scubapro Profile Mens 25mm Shortie,This lightweight neoprene scuba diving shortie will be your steady companion for all your warm water scuba diving and snorkeling activities,64.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-profile-mens-25mm-shortie/427677,http://192.168.1.125/deepblue08uploadImages/small/product427677image0.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1074,SCUBAPRO,427678,Scubapro Hybrid Mens Rash Vest long sleeved,New fashionable UV rated neoprenelycra rash guards to be worn under another suit for added warmth or solely used as rash guard,53.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-hybrid-mens-rash-vest-long-sleeved/427678,http://192.168.1.125/deepblue08uploadImages/small/product427678image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,500
1074,SCUBAPRO,427689,Scubapro Escape Snorkel,All the great features of the Escape Snorkel with the addition of a purge for easier cleaning,18.95,http://192.168.1.125/deepblue08/dive/department/snorkels/scubapro/product/scubapro-escape-snorkel/427689,http://192.168.1.125/deepblue08uploadImages/small/product427689image1.png,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,400
1074,SCUBAPRO,427692,Scubapro MK2R295 Regulator,A simple and affordable regulator set ideal for beginners,165.00,http://192.168.1.125/deepblue08/dive/department/regulators/scubapro/product/scubapro-mk2-r295-regulator/427692,http://192.168.1.125/deepblue08uploadImages/small/product427692image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
